,symbol_id,simillar_symbol_id,score
471,03473K.KS,006405.KS,0.008485
472,03473K.KS,02826K.KS,0.007883
473,03473K.KS,003555.KS,0.007621
474,03473K.KS,096775.KS,0.007613
475,011790.KS,020150.KS,0.024185
476,011790.KS,009830.KS,0.022265
477,011790.KS,009150.KS,0.021955
478,011790.KS,011170.KS,0.021393
479,011790.KS,010130.KS,0.01992
480,018670.KS,017940.KS,0.011046
481,018670.KS,010950.KS,0.00985
482,018670.KS,017670.KS,0.009376
483,018670.KS,036460.KS,0.009069
484,018670.KS,004690.KS,0.008521
485,001745.KS,006125.KS,0.005849
486,001745.KS,000885.KS,0.005625
487,001745.KS,001740.KS,0.0056
488,001745.KS,001515.KS,0.005055
489,001745.KS,001045.KS,0.005009
490,001740.KS,000210.KS,0.021209
491,001740.KS,000720.KS,0.021203
492,001740.KS,010950.KS,0.02069
493,001740.KS,000880.KS,0.020593
494,001740.KS,006360.KS,0.02046
495,210980.KS,088260.KS,0.003311
496,210980.KS,336260.KS,0.00325
497,210980.KS,293940.KS,0.003242
498,210980.KS,008770.KS,0.00321
499,210980.KS,120110.KS,0.003195
500,395400.KS,365550.KS,0.010202
501,395400.KS,330590.KS,0.009241
502,395400.KS,293940.KS,0.008964
503,395400.KS,348950.KS,0.006947
504,395400.KS,357120.KS,0.006418
505,034730.KS,012330.KS,0.034754
506,034730.KS,017670.KS,0.032387
507,034730.KS,096770.KS,0.031224
508,034730.KS,086790.KS,0.03054
509,034730.KS,105560.KS,0.030013
510,402340.KS,017670.KS,0.018315
511,402340.KS,034730.KS,0.009619
512,402340.KS,361610.KS,0.008555
513,402340.KS,323410.KS,0.008503
514,402340.KS,097950.KS,0.008419
515,361610.KS,302440.KS,0.025479
516,361610.KS,247540.KQ,0.019838
517,361610.KS,323410.KS,0.019373
518,361610.KS,066970.KQ,0.017279
519,361610.KS,096770.KS,0.01712
520,096775.KS,096770.KS,0.028763
521,096775.KS,051915.KS,0.015542
522,096775.KS,006405.KS,0.012391
523,096775.KS,066575.KS,0.010432
524,096775.KS,051905.KS,0.010306
525,096770.KS,051910.KS,0.089132
526,096770.KS,006400.KS,0.0723
527,096770.KS,005380.KS,0.052827
528,096770.KS,012330.KS,0.051603
529,096770.KS,005490.KS,0.051593
530,001515.KS,001510.KS,0.006086
531,001515.KS,001745.KS,0.005055
532,001515.KS,003535.KS,0.004493
533,001515.KS,009415.KS,0.004457
534,001515.KS,006805.KS,0.004259
535,001510.KS,006800.KS,0.01154
536,001510.KS,016360.KS,0.010405
537,001510.KS,003470.KS,0.010317
538,001510.KS,001740.KS,0.009531
539,001510.KS,005940.KS,0.009123
540,28513K.KS,285130.KS,0.00984
541,28513K.KS,011785.KS,0.008245
542,28513K.KS,051915.KS,0.008189
543,28513K.KS,006405.KS,0.007232
544,28513K.KS,011780.KS,0.007144
545,285130.KS,068270.KS,0.012145
546,285130.KS,011790.KS,0.011985
547,285130.KS,207940.KS,0.01085
548,285130.KS,326030.KS,0.010786
549,285130.KS,096770.KS,0.010765
550,017670.KS,030200.KS,0.111044
551,017670.KS,005490.KS,0.092288
552,017670.KS,015760.KS,0.08274
553,017670.KS,055550.KS,0.082134
554,017670.KS,012330.KS,0.062924
555,003570.KS,012450.KS,0.008066
556,003570.KS,004170.KS,0.007534
557,003570.KS,006360.KS,0.007283
558,003570.KS,004370.KS,0.007201
559,003570.KS,064960.KS,0.007033
560,064960.KS,018880.KS,0.011775
561,064960.KS,047040.KS,0.009962
562,064960.KS,030000.KS,0.009733
563,064960.KS,047050.KS,0.009553
564,064960.KS,012330.KS,0.009526
565,100840.KS,064960.KS,0.003072
566,100840.KS,003570.KS,0.002914
567,100840.KS,036530.KS,0.002734
568,100840.KS,078930.KS,0.002528
569,100840.KS,093050.KS,0.00251
570,036530.KS,016880.KS,0.005586
571,036530.KS,003570.KS,0.005405
572,036530.KS,012750.KS,0.005335
573,036530.KS,000810.KS,0.005136
574,036530.KS,020000.KS,0.005108
575,005610.KS,004370.KS,0.01102
576,005610.KS,007310.KS,0.009298
577,005610.KS,003230.KS,0.008052
578,005610.KS,001800.KS,0.007751
579,005610.KS,097950.KS,0.00764
580,011810.KS,010140.KS,0.00986
581,011810.KS,077970.KS,0.009157
582,011810.KS,010950.KS,0.008641
583,011810.KS,012450.KS,0.008079
584,011810.KS,011790.KS,0.00791
585,077970.KS,011810.KS,0.009157
586,077970.KS,009540.KS,0.008966
587,077970.KS,010140.KS,0.008436
588,077970.KS,010620.KS,0.00838
589,077970.KS,042660.KS,0.008261
590,071970.KS,077970.KS,0.00478
591,071970.KS,011810.KS,0.004531
592,071970.KS,028670.KS,0.00427
593,071970.KS,003410.KS,0.003694
594,071970.KS,001440.KS,0.003652
595,084870.KS,069960.KS,0.00442
596,084870.KS,093050.KS,0.004415
597,084870.KS,073240.KS,0.003932
598,084870.KS,069260.KS,0.003828
599,084870.KS,064960.KS,0.003813
600,002710.KS,002240.KS,0.005225
601,002710.KS,001230.KS,0.005121
602,002710.KS,000970.KS,0.005049
603,002710.KS,003030.KS,0.004992
604,002710.KS,008260.KS,0.004497
605,024070.KS,010660.KS,0.0047
606,024070.KS,006740.KS,0.004694
607,024070.KS,005800.KS,0.004511
608,024070.KS,014830.KS,0.00447
609,024070.KS,014440.KS,0.004338
610,000500.KS,000320.KS,0.007619
611,000500.KS,000020.KS,0.007357
612,000500.KS,000640.KS,0.007198
613,000500.KS,000430.KS,0.006841
614,000500.KS,000300.KS,0.006836
615,000860.KS,000850.KS,0.010283
616,000860.KS,000480.KS,0.009054
617,000860.KS,000390.KS,0.008525
618,000860.KS,003650.KS,0.007859
619,000860.KS,000880.KS,0.0068
620,035250.KS,033780.KS,0.038864
621,035250.KS,030200.KS,0.034925
622,035250.KS,015760.KS,0.034298
623,035250.KS,000810.KS,0.033904
624,035250.KS,017670.KS,0.03259
625,011420.KS,008260.KS,0.003143
626,011420.KS,011300.KS,0.002956
627,011420.KS,012450.KS,0.002819
628,011420.KS,009470.KS,0.002753
629,011420.KS,011230.KS,0.002752
630,002100.KS,001390.KS,0.00466
631,002100.KS,002240.KS,0.004273
632,002100.KS,001550.KS,0.004131
633,002100.KS,025860.KS,0.004072
634,002100.KS,002990.KS,0.004019
635,009450.KS,010120.KS,0.005522
636,009450.KS,005300.KS,0.005472
637,009450.KS,012330.KS,0.005031
638,009450.KS,006650.KS,0.004905
639,009450.KS,001120.KS,0.004811
640,267290.KS,117580.KS,0.002373
641,267290.KS,004690.KS,0.002327
642,267290.KS,017390.KS,0.002148
643,267290.KS,016710.KS,0.001966
644,267290.KS,036460.KS,0.001958
645,012320.KS,015360.KS,0.006018
646,012320.KS,017390.KS,0.006
647,012320.KS,004690.KS,0.004606
648,012320.KS,018670.KS,0.004569
649,012320.KS,009450.KS,0.004414
650,000050.KS,001790.KS,0.009828
651,000050.KS,003480.KS,0.009223
652,000050.KS,000070.KS,0.009101
653,000050.KS,000140.KS,0.008932
654,000050.KS,000120.KS,0.008716
655,214390.KS,063160.KS,0.003735
656,214390.KS,185750.KS,0.003287
657,214390.KS,017180.KS,0.002754
658,214390.KS,003220.KS,0.002743
659,214390.KS,009290.KS,0.002725
660,012610.KS,006650.KS,0.004592
661,012610.KS,013580.KS,0.004086
662,012610.KS,009450.KS,0.004051
663,012610.KS,007690.KS,0.003896
664,012610.KS,010050.KS,0.00389
665,009140.KS,008500.KS,0.002949
666,009140.KS,008870.KS,0.002746
667,009140.KS,009680.KS,0.002705
668,009140.KS,009450.KS,0.002702
669,009140.KS,010120.KS,0.002611
670,013580.KS,000720.KS,0.00595
671,013580.KS,011170.KS,0.005572
672,013580.KS,006360.KS,0.005386
673,013580.KS,014790.KS,0.005251
674,013580.KS,000210.KS,0.005179
675,012205.KS,019175.KS,0.004648
676,012205.KS,009415.KS,0.003896
677,012205.KS,008775.KS,0.003893
678,012205.KS,005385.KS,0.003831
679,012205.KS,007575.KS,0.00373
680,012200.KS,008770.KS,0.004733
681,012200.KS,011780.KS,0.004665
682,012200.KS,007570.KS,0.004432
683,012200.KS,009150.KS,0.004211
684,012200.KS,012630.KS,0.004173
685,002140.KS,001680.KS,0.004713
686,002140.KS,004410.KS,0.004449
687,002140.KS,001130.KS,0.004426
688,002140.KS,008040.KS,0.004284
689,002140.KS,027740.KS,0.00422
690,010130.KS,005490.KS,0.041662
691,010130.KS,010950.KS,0.039675
692,010130.KS,012330.KS,0.038938
693,010130.KS,011170.KS,0.038601
694,010130.KS,004020.KS,0.038022
695,002240.KS,003030.KS,0.011103
696,002240.KS,004020.KS,0.010795
697,002240.KS,001230.KS,0.010757
698,002240.KS,001430.KS,0.009922
699,002240.KS,001120.KS,0.008952
700,009290.KS,007570.KS,0.007084
701,009290.KS,000100.KS,0.006949
702,009290.KS,000640.KS,0.006937
703,009290.KS,003000.KS,0.006433
704,009290.KS,001060.KS,0.006288
705,017040.KS,010120.KS,0.004666
706,017040.KS,015860.KS,0.004474
707,017040.KS,025540.KS,0.004268
708,017040.KS,025820.KS,0.003925
709,017040.KS,030610.KS,0.003886
710,017900.KS,008060.KS,0.006086
711,017900.KS,000990.KS,0.005594
712,017900.KS,011930.KS,0.004953
713,017900.KS,026890.KS,0.004607
714,017900.KS,033240.KS,0.004433
715,037710.KS,004170.KS,0.006905
716,037710.KS,069960.KS,0.00689
717,037710.KS,034300.KS,0.005978
718,037710.KS,035760.KQ,0.00544
719,037710.KS,023530.KS,0.00488
720,030610.KS,016360.KS,0.009066
721,030610.KS,003540.KS,0.007273
722,030610.KS,030210.KS,0.006783
723,030610.KS,008560.KS,0.006768
724,030610.KS,003530.KS,0.006498
725,339770.KS,302440.KS,0.003042
726,339770.KS,020560.KS,0.003022
727,339770.KS,068270.KS,0.002985
